2021-04-14 21:16:48.857 -03:00 [INF] Mb descargados 552.00

2021-04-14 21:17:15.836 -03:00 [INF] Mb descargados 556.00

2021-04-14 21:17:15.838 -03:00 [INF] Mb descargados 560.00

2021-04-14 21:17:22.710 -03:00 [INF] Mb descargados 564.00

2021-04-14 21:17:34.688 -03:00 [INF] Mb descargados 568.00

2021-04-14 21:17:42.475 -03:00 [INF] Mb descargados 572.00

2021-04-14 21:17:50.249 -03:00 [INF] Mb descargados 576.00

2021-04-14 21:18:02.765 -03:00 [INF] Mb descargados 580.00

2021-04-14 21:18:02.767 -03:00 [INF] Mb descargados 584.00

2021-04-14 21:18:24.953 -03:00 [INF] Mb descargados 588.00

2021-04-14 21:18:30.428 -03:00 [INF] Mb descargados 592.00

2021-04-14 21:18:35.314 -03:00 [INF] Mb descargados 596.00

2021-04-14 21:18:45.589 -03:00 [INF] Mb descargados 600.00

2021-04-14 21:18:51.720 -03:00 [INF] Mb descargados 604.00

2021-04-14 21:19:11.655 -03:00 [INF] Mb descargados 608.00

2021-04-14 21:19:20.761 -03:00 [INF] Mb descargados 612.00

2021-04-14 21:19:22.929 -03:00 [INF] Mb descargados 616.00

2021-04-14 21:19:31.622 -03:00 [INF] Mb descargados 620.00

2021-04-14 21:19:36.596 -03:00 [INF] Mb descargados 624.00

2021-04-14 21:19:55.376 -03:00 [INF] Mb descargados 628.00

2021-04-14 21:20:14.909 -03:00 [INF] Mb descargados 632.00

2021-04-14 21:20:14.914 -03:00 [INF] Mb descargados 636.00

2021-04-14 21:20:14.916 -03:00 [INF] Mb descargados 637.00

2021-04-14 21:20:14.918 -03:00 [INF] Mb descargados 637.00

2021-04-14 21:20:14.921 -03:00 [INF] 
 *******Operacion de transferencia completada con exito 1875.7344138 segundos ******
2021-04-14 21:20:55.152 -03:00 [INF] El largo del archivo es: 637 mb
2021-04-14 21:20:55.177 -03:00 [INF] El tiempo en seg tomado es: : 1915 segundos
2021-04-14 21:20:55.179 -03:00 [INF] El tiempo en min tomado es: : 31 minutos
2021-04-14 21:20:55.189 -03:00 [INF] Comenzando a copiar el archivo a memoria
2021-04-14 21:24:12.549 -03:00 [INF] El tiempo tomado en importar el CSV en memoria es:  3 minutos
2021-04-14 21:24:12.600 -03:00 [INF] Comenzando a copiar el archivo a la BD
2021-04-14 21:30:47.734 -03:00 [INF] Fin de copiado del archivo a la BD!
2021-04-14 21:30:47.763 -03:00 [INF] El tiempo tomado en importar el CSV en seg es:  395 segundos
2021-04-14 21:30:47.778 -03:00 [INF] El tiempo tomado en importar el CSV en min es:  6 minutos
