   at Microsoft.Azure.Storage.DataMovement.TransferControllers.BlockBasedBlobReader.DoWorkInternalAsync()
   at Microsoft.Azure.Storage.DataMovement.TransferControllers.SyncTransferController.DoWorkInternalAsync()
   at Microsoft.Azure.Storage.DataMovement.TransferControllers.TransferControllerBase.DoWorkAsync()
   at Microsoft.Azure.Storage.DataMovement.TransferScheduler.ExecuteJobInternalAsync(TransferJob job, CancellationToken cancellationToken)
Request Information
RequestID:
RequestDate:
StatusMessage:
ErrorCode:

   --- End of inner exception stack trace ---
   at Microsoft.Azure.Storage.DataMovement.TransferScheduler.ExecuteJobInternalAsync(TransferJob job, CancellationToken cancellationToken)
   at Microsoft.Azure.Storage.DataMovement.SingleObjectTransfer.ExecuteAsync(TransferScheduler scheduler, CancellationToken cancellationToken)
   at Microsoft.Azure.Storage.DataMovement.TransferManager.DoTransfer(Transfer transfer, TransferContext transferContext, CancellationToken cancellationToken)
   --- End of inner exception stack trace ---
   at System.Threading.Tasks.Task.ThrowIfExceptional(Boolean includeTaskCanceledExceptions)
   at System.Threading.Tasks.Task.Wait(Int32 millisecondsTimeout, CancellationToken cancellationToken)
   at CsvImporter.Program.Main(String[] args) in C:\Users\cjlafal\source\AcmeCorp_Project\CsvImporter\CsvImporter\Program.cs:line 81
2021-04-12 21:16:29.519 -03:00 [INF] El largo del archivo es: 637 mb
2021-04-12 21:16:29.519 -03:00 [INF] El tiempo en seg tomado es: : 2655 segundos
2021-04-12 21:16:29.521 -03:00 [INF] El tiempo en min tomado es: : 44 minutos
2021-04-12 21:16:29.524 -03:00 [INF] Comenzando a copiar el archivo a la BD
2021-04-12 21:16:30.158 -03:00 [INF] Fin de copiado del archivo a la BD
2021-04-12 21:16:30.159 -03:00 [INF] El tiempo tomado en importar el CSV en seg es:  0 segundos
2021-04-12 21:16:30.160 -03:00 [INF] El tiempo tomado en importar el CSV en min es:  0 minutos
